Name,Price in $,Role,TeamName,auction_year,Price in rs,Nationality,BasePrices in Rs,Winning Bid in Rs,Capped/UnCapped,price_rs,price_crore,match_key,role_clean,balls_bowled,runs_conceded,wickets,economy,wickets_per_match,rpr_bowling
Ashish Nehra,,Bowler,Chennai Super Kings,2014,"2,00,00,000",,,,,20000000,2.0,a_nehra,bowler,1974,2537,121,7.71,7.36,3.68
Mohit Sharma,,Bowler,Chennai Super Kings,2014,"2,00,00,000",,,,,20000000,2.0,m_sharma,bowler,2308,3278,147,8.52,7.64,3.82
Ishwar Chandra Pandey,,Bowler,Chennai Super Kings,2014,"1,50,00,000",,,,,15000000,1.5,i_pandey,bowler,469,609,19,7.79,4.86,3.24
Ben Hilfenhaus,,Bowler,Chennai Super Kings,2014,"1,00,00,000",,,,,10000000,1.0,b_hilfenhaus,bowler,390,497,23,7.65,7.08,7.08
John Hastings,,All-Rounder,Chennai Super Kings,2014,"50,00,000",,,,,5000000,0.5,j_hastings,allrounder,61,66,3,6.49,5.9,11.8
Samuel Badree,,Bowler,Chennai Super Kings,2014,"30,00,000",,,,,3000000,0.3,s_badree,bowler,263,329,11,7.51,5.02,16.733333
Matt Henry,,Bowler,Chennai Super Kings,2014,"30,00,000",,,,,3000000,0.3,m_henry,bowler,105,183,3,10.46,3.43,11.433333
Mithun Manhas,,All-Rounder,Chennai Super Kings,2014,"30,00,000",,,,,3000000,0.3,m_manhas,allrounder,42,42,0,6.0,0.0,0.0
Vijay Shankar,,All-Rounder,Chennai Super Kings,2014,"10,00,000",,,,,1000000,0.1,v_shankar,allrounder,258,344,12,8.0,5.58,55.8
Ronit More,,Bowler,Chennai Super Kings,2014,"10,00,000",,,,,1000000,0.1,r_more,bowler,37,63,1,10.22,3.24,32.4
Pawan Negi,,Bowler,Chennai Super Kings,2014,"10,00,000",,,,,1000000,0.1,p_negi,bowler,733,954,38,7.81,6.22,62.2
Mohammad Shami,,Bowler,Delhi Daredevils,2014,"4,25,00,000",,,,,42500000,4.25,m_shami,bowler,2521,3486,144,8.3,6.85,1.611765
Nathan Coulter-Nile,,Bowler,Delhi Daredevils,2014,"4,25,00,000",,,,,42500000,4.25,n_coulter-nile,bowler,892,1125,52,7.57,7.0,1.647059
